t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-4.899989998999899,1.2466167116516933e-5,-4.557276114326932e-16,1.2466167116972662e-5,2.4359939793891645e-6,-4.031609736877979e-14,2.4359940030828517e-6,5.6670486517267426e-12
-4.8989898989899,1.2643598821915737e-5,2.0335052611001075e-14,1.2643598801580685e-5,2.493373738261546e-6,-4.031609736877979e-14,2.4933737684513583e-6,5.911218860488443e-12
-4.897989798979898,1.2821660943902073e-5,3.8276415269978294e-15,1.2821660940074431e-5,2.551529737513223e-6,-4.031609736877979e-14,2.5515297875684474e-6,6.1635172744021875e-12
-4.896989698969897,1.3000338365149292e-5,6.0976920485438925e-15,1.30003383590516e-5,2.610465202431986e-6,-4.031609736877979e-14,2.6104652335510502e-6,6.424137226233783e-12
-4.895989598959895,1.31796185748172e-5,-8.252270220771184e-15,1.3179618583069467e-5,2.670183150965694e-6,-4.031609736877979e-14,2.6701831946971146e-6,6.69327483331566e-12
-4.894989498949895,1.3359491954864333e-5,6.7597901068813584e-15,1.3359491948104542e-5,2.730686675934961e-6,-1.1518884962508511e-14,2.730686671623976e-6,6.9711290136054524e-12
-4.893989398939894,1.3539951683807344e-5,4.426682614047198e-15,1.3539951679380661e-5,2.7919785591505037e-6,-2.879721240627128e-14,2.7919785760395182e-6,7.257901501871116e-12
-4.892989298929892,1.3720993959328552e-5,2.9271124492291403e-14,1.3720993930057427e-5,2.8540617091307766e-6,-3.4556654887525534e-14,2.8540617311826704e-6,7.55379686595435e-12
-4.891989198919892,1.3902617776994112e-5,-3.023046709181203e-15,1.390261778001716e-5,2.9169388673704e-6,5.759442481254256e-15,2.916938873846859e-6,7.859022522973627e-12
-4.890989098909891,1.408482522722698e-5,3.239694802330556e-14,1.4084825194830032e-5,2.9806126486562604e-6,-1.1518884962508511e-14,2.980612657977124e-6,8.173788755428722e-12
-4.88998899889989,1.426762095782873e-5,1.3578949794574799e-14,1.426762094424978e-5,3.045085667775245e-6,5.759442481254256e-15,3.0450856597096277e-6,8.498308727103538e-12
-4.888988898889888,1.445101251929735e-5,3.8234220795198856e-14,1.4451012481063127e-5,3.1103603724904072e-6,-5.759442481254256e-15,3.1103603837036877e-6,8.832798498655352e-12
-4.8879887988798885,1.4635009806429624e-5,2.4609413554859085e-14,1.463500978182021e-5,3.1764392681592273e-6,1.7278327443762767e-14,3.17643927061605e-6,9.177477042820439e-12
-4.886988698869887,1.4819625159259063e-5,7.953368209234295e-15,1.4819625151305695e-5,3.2433246873559095e-6,-2.879721240627128e-14,3.2433247055200626e-6,9.532566259113995e-12
-4.8859885988598855,1.5004872994618161e-5,5.982243304540476e-16,1.5004872994019938e-5,3.3110190260085266e-6,5.759442481254256e-15,3.311019027080364e-6,9.898290987897441e-12
-4.884988498849886,1.5190769526796143e-5,-2.9038546452474067e-14,1.5190769555834688e-5,3.3795245130213184e-6,-2.3037769925017022e-14,3.3795245372678377e-6,1.0274879023737319e-11
-4.883988398839884,1.53773326329548e-5,-6.4371306914521955e-15,1.5377332639391924e-5,3.448843515525145e-6,-2.3037769925017022e-14,3.448843511375821e-6,1.0662561127930553e-11
-4.882988298829883,1.5564581321894873e-5,2.35419492839296e-14,1.5564581298352924e-5,3.5189782221081493e-6,-1.1518884962508511e-14,3.518978208118755e-6,1.1061571040086744e-11
-4.881988198819882,1.5752535506845553e-5,-8.513506287503503e-15,1.575253551535906e-5,3.5899308789528986e-6,0.0,3.5899308796029714e-6,1.1472145488679908e-11
-4.8809880988098815,1.5941215896755723e-5,2.766767602182921e-14,1.5941215869088045e-5,3.661703761039173e-6,5.759442481254256e-15,3.6617037809762514e-6,1.1894524200448889e-11
-4.87998799879988,1.613064321698229e-5,2.1924988668042772e-14,1.6130643195057304e-5,3.7342991779034083e-6,-5.759442481254256e-15,3.7342991795376424e-6,1.2328949908592212e-11
-4.878987898789879,1.6320838264270775e-5,1.8646026787492144e-14,1.6320838245624754e-5,3.807719358449844e-6,-5.759442481254256e-15,3.807719363126407e-6,1.2775668359673496e-11
-4.877987798779879,1.651182133350715e-5,-2.1449191069255285e-14,1.6511821354956344e-5,3.881966658290455e-6,0.0,3.881966647622711e-6,1.32349283191688e-11
-4.876987698769877,1.6703612140321674e-5,2.6347983919252554e-14,1.6703612113973687e-5,3.957043398480561e-6,2.879721240627128e-14,3.957043383447871e-6,1.3706981575581466e-11
-4.875987598759876,1.6896229067610433e-5,7.858782690347454e-15,1.6896229059751647e-5,4.032952003745448e-6,2.879721240627128e-14,4.032951960938051e-6,1.4192082943097152e-11
-4.874987498749875,1.7089689353975773e-5,-3.021410840702368e-14,1.708968938418988e-5,4.109694812418761e-6,5.759442481254256e-15,4.109694814448996e-6,1.4690490262756356e-11
