path,zeta,M,dt,dkx,rtol,atol
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=4.1011270705513_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,4.1011270705513,0.00078125,0.002186841223781727,4.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=4.7579443140094115_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,4.7579443140094115,0.00078125,0.002186841223781727,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=5.5199543212815705_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,5.5199543212815705,0.00078125,0.002186841223781727,2.0000000000000008e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=6.404004271197279_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,6.404004271197279,0.00078125,0.002186841223781727,2.0000000000000008e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=7.429639507594946_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,7.429639507594946,0.00078125,0.002186841223781727,2.0000000000000008e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=8.619535664753032_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,8.619535664753032,0.00078125,0.002186841223781727,8.0e-7,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.11601553017399716_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.11601553017399716,0.00078125,0.0006342688599584742,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.13459603241553642_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.13459603241553642,0.00078125,0.0003171344299792371,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.15615230060004973_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.15615230060004973,0.00078125,0.0003171344299792371,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.18116091942004142_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.18116091942004142,0.00078125,0.0003171344299792371,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.1_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.1,0.00078125,0.0006342688599584742,9.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.21017480113324882_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.21017480113324882,0.00078125,0.0003171344299792371,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.2438354098268829_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.2438354098268829,0.00078125,0.0006342688599584742,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.28288694346259696_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.28288694346259696,0.00078125,0.0006342688599584742,9.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.13459603241553642/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.3281927872511474_zeta=0.13459603241553642_dkx_PowerLawTest_dkx.hdf5,0.13459603241553642,0.3281927872511474,0.00078125,0.0006342688599584742,8.000000000000001e-6,1.0e-13
